event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM23192,2017/07/16,"2017","1",Political violence,Violence against civilians,Abduction/forced disappearance,Al Shabaab,,"2",Civilians (Somalia),Aid Workers (Somalia),"7","27",Civilian targeting,"706",Eastern Africa,Somalia,Lower Juba,Badhaadhe,,Badhaadhe,-1.0354,41.5005,"2",Undisclosed Source,Local partner-Other,Al Shabaab kidnapped a NGO worker in Badhaadhe.,"0",,"1571260133"
KEN5595,2017/07/16,"2017","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,"2",Military Forces of Kenya (2013-2022),,"1","12",,"404",Eastern Africa,Kenya,Garissa,Dadaab,Liboi,Liboi,0.3534,40.8723,"1",Calamada,Regional,"A powerful explosion caused by a land mine, occurred in parts of NFD [Northern Frontier District, Kenya'snortheastern region], targeting Kenyan military forces and resulting in casualties in an area called Abdi Ali in Liboi town.","10",,"1680570815"
KEN5590,2017/07/13,"2017","1",Political violence,Battles,Armed clash,Police Forces of Kenya (2013-2022),,"1",Al Shabaab,,"2","12",,"404",Eastern Africa,Kenya,Lamu,Lamu West,Mkomami,Lamu,-2.2717,40.902,"1",Daily Nation (Kenya),National,Five security officers were killed during an operation to rescue a principal secretary in the ministry of lands and physical planning. A battle between the security personnel and Al Shabaab fighters left five security officers dead,"5",,"1679360213"
KEN5593,2017/07/13,"2017","1",Political violence,Violence against civilians,Attack,Al Shabaab,,"2",Civilians (Kenya),Government of Kenya (2013-2022),"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Lamu,Lamu West,Mkomami,Lamu,-2.2717,40.902,"1",Daily Nation (Kenya),National,"Three people were killed and several were injured including Public Works Principal Secretary Mariam El Maawy, during an ambush by Al Shabaab attack in Lamu West.","3",,"1679360213"
SOM23165,2017/07/11,"2017","1",Political violence,Battles,Armed clash,Military Forces of Kenya (2013-2022),,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Gedo,Ceel Waaq,,Ceel Ram,2.5805,41.1915,"1",Partner Database,Other,"Al Shabaab ground attack and shell KDF base of El Ram, causality unknown.","0",,"1679360219"
KEN5581,2017/07/10,"2017","1",Political violence,Explosions/Remote violence,Air/drone strike,Police Forces of Kenya (2013-2022),,"1",Al Shabaab,,"2","12",,"404",Eastern Africa,Kenya,Garissa,Hulugho,Hulugho,Boni National Reserve,-1.5394,41.3314,"1",Daily Nation (Kenya),National,The police have launched air strikes in Boni Forest to attack Al Shabaab fighters,"0",,"1679360213"
KEN6032,2017/07/09,"2017","1",Political violence,Violence against civilians,Attack,Meru Ethnic Militia (Kenya),,"4",Civilians (Kenya),Isiolo Communal Group (Kenya),"7","47",Civilian targeting,"404",Eastern Africa,Kenya,Isiolo,Garbatulla,Kinna,Kinna,0.3167,38.2,"2",Kenya Standard,National,Meru inhabitants stabbed 3 Isiolo inhabitants to death at Kiutine market as part of the ongoing Meru-Isiolo border conflict.,"3",,"1618560964"
SOM23143,2017/07/09,"2017","1",Political violence,Violence against civilians,Attack,Unidentified Armed Group (Somalia),,"3",Civilians (Somalia),Women (Somalia),"7","37",Civilian targeting,"706",Eastern Africa,Somalia,Gedo,Belet Xaawo,,Belet Xaawo,3.7807,41.8943,"1",Undisclosed Source,Local partner-Other,"09 July, evening, Belet Xaawo, Gedo: unidentified gunmen assassinated an official of a local women's association, reasons not known.","1",women targeted: activists/human rights defenders/social leaders,"1638981222"
KEN5580,2017/07/08,"2017","1",Political violence,Violence against civilians,Attack,Al Shabaab,,"2",Civilians (Kenya),,"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Lamu,Lamu West,Mkunumbi,Pandanguo,-2.2347,40.4778,"2",Capital FM,National,"At least nine people were killed in Lamu County on Saturday morning, in an attack by Al Shabaab. The attack occurred at Jima and Pandaguo villages near the border with Somalia. At Jima, Al Shabaab beheaded four men (coded in other event).","5",,"1618560925"
KEN5578,2017/07/08,"2017","2",Political violence,Violence against civilians,Attack,Al Shabaab,,"2",Civilians (Kenya),,"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Lamu,Lamu West,Mkomami,Lamu,-2.2717,40.902,"1",Local Source,International,Four men have been beheaded by Al Shabaab at Jima area bordering Pandanguo in Lamu county. Kenya Standard reports 9 people were beheaded and the event took place on the previous day.,"4",,"1618560924"
KEN5577,2017/07/08,"2017","1",Strategic developments,Strategic developments,Change to group/activity,Police Forces of Kenya (2013-2022),,"1",Al Shabaab,,"2","12",,"404",Eastern Africa,Kenya,Lamu,Lamu West,Mkomami,Lamu,-2.2717,40.902,"1",Local Source,International,"Movement of forces: On 5 July, the government deployed troops to Lamu to look for al-Shabab who have been attacking civilians and police officers in the county.","0",,"1679360213"
KEN5574,2017/07/05,"2017","1",Political violence,Battles,Armed clash,Al Shabaab,,"2",Police Forces of Kenya (2013-2022),,"1","12",,"404",Eastern Africa,Kenya,Lamu,Lamu West,Mkunumbi,Pandanguo,-2.2347,40.4778,"1","AFP; Capital FM; Kenya Standard",National-International,At least three police officers and one Al shabaab member were killed after Al Shabaab raided Pandanguo Police Camp in Lamu. Al Shabaab engaged in a gun battle with the police that lasted for hours. One police officer was unaccounted for. Al Shabaab planted IEDs while raiding the station. Government troops were later deployed to Lamu to look for al-Shabab. The Kenya Standard claims 2 police dead in the attack.,"3",,"1679360213"
SOM23099,2017/07/04,"2017","1",Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,"8",Al Shabaab,,"2","28",,"706",Eastern Africa,Somalia,Lower Juba,Badhaadhe,,Badhaadhe,-1.0354,41.5005,"2",Undisclosed Source,Local partner-Other,Unknown war planes conducted an airstrike targeting suspected al Shabaab positions at Wade grazing area (c. 10 km East of Badhaadhe town). Casualties could not be established at the time of reporting.,"0",,"1571260133"
KEN5573,2017/07/04,"2017","1",Demonstrations,Protests,Peaceful protest,Protesters (Kenya),,"6",,,"0","60",,"404",Eastern Africa,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,"1",Daily Nation (Kenya),National,Hundreds of supporters of Governor Nathif Jama on Tuesday poured to the streets over reports that his Sh5.2 billion bank account has been frozen.,"0",,"1618560924"
